"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"31/01/2022","4.190","4.210","4.250","4.190","88,74M","-1,64%"
"28/01/2022","4.260","4.260","4.300","4.230","61,69M","-0,23%"
"27/01/2022","4.270","4.400","4.400","4.260","98,61M","-2,73%"
"26/01/2022","4.390","4.380","4.390","4.290","127,64M","2,33%"
"25/01/2022","4.290","4.310","4.320","4.250","116,35M","-0,23%"
"24/01/2022","4.300","4.260","4.310","4.250","70,40M","-0,69%"
"21/01/2022","4.330","4.240","4.330","4.190","75,53M","2,61%"
"20/01/2022","4.220","4.300","4.300","4.190","100,01M","-0,71%"
"19/01/2022","4.250","4.260","4.260","4.230","88,71M","0,00%"
"18/01/2022","4.250","4.200","4.250","4.160","112,21M","1,67%"
"17/01/2022","4.180","4.200","4.200","4.140","39,82M","-0,24%"
"14/01/2022","4.190","4.140","4.190","4.130","28,19M","0,24%"
"13/01/2022","4.180","4.170","4.180","4.110","84,15M","1,70%"
"12/01/2022","4.110","4.110","4.140","4.070","45,13M","0,49%"
"11/01/2022","4.090","4.120","4.160","4.090","61,89M","-0,24%"
"10/01/2022","4.100","4.180","4.190","4.100","44,92M","-1,68%"
"07/01/2022","4.170","4.120","4.190","4.090","68,42M","1,21%"
"06/01/2022","4.120","4.090","4.120","4.030","89,20M","1,73%"
"05/01/2022","4.050","4.150","4.190","4.030","119,58M","-2,88%"
"04/01/2022","4.170","4.180","4.200","4.150","42,98M","-0,24%"
"03/01/2022","4.180","4.060","4.180","4.050","65,94M","3,47%"